DEPT,COURSE_NUM,COURSE_TITLE,DESCRIPTION
,,Accelerated Math Physics Program,"A 5-week intensive immersion into calculus and physics which covers the equivalent of Calculus III, and Physics I, II. Taught only to incoming freshman who have demonstrated outstanding ability in both calculus and physics. Review of single variable calculus, both differential calculus and integral calculus, as needed. Covers from MA113: vectors and parametric equations in three dimensions, functions of several variables, partial derivatives, maxima and minima of functions of several variables, multiple integrals, and other coordinate systems with applications of vectors, parametric equations, partial derivatives and multiple integrals. Covers from PH111, PH112: kinematics, Newton's laws of motion, gravitation, Coulomb’s law, Lorentz force law, conservation of energy and momentum, torque and angular momentum, oscillations, one-dimensional waves, electric fields and potentials, electric current and resistance, DC circuits, capacitance, with relevant laboratory experiments."
AS,101,Foundations of the United States Air Force,"This is a survey course designed to introduce students to the United States Air Force and Air Force Reserve Officer Training Corps. Featured topics include: mission and organization of the Air Force, officership and professionalism, military customs and courtesies, Air Force officer opportunities, and an introduction to communication skills. Leadership Laboratory is mandatory for AFROTC cadets and complements this course by providing cadets with followership experiences."
AS,101L,Leadership Laboratory,"This class is mandatory for cadets who apply for membership in the AFROTC program and who are pursuing a commission in the United States Air Force. Cadets apply leadership concepts and principles, and practice critical skills needed to be an effective Air Force officer. Activities include physical fitness training, communication exercises, drill and ceremonies, and active duty Air Force experiences."
AS,102,Foundations of the United States Air Force II,This course is a continuation of the fall quarter course designed to introduce students to the United States Air Force and Air Force Reserve Officer Training Corps.
AS,102L,Leadership Laboratory,"This class is mandatory for cadets who apply for membership in the AFROTC program and who are pursuing a commission in the United States Air Force. Cadets apply leadership concepts and principles, and practice critical skills needed to be an effective Air Force officer. Activities include physical fitness training, communication exercises, drill and ceremonies, and active duty Air Force experiences."
AS,103,Foundations of the United States Air Force III,This course is a continuation of the winter quarter course designed to introduce students to the United States Air Force and Air Force Reserve Officer Training Corps.
AS,201,The Evolution of Air and Space Power I,"This course designed to examine the general aspects of air and space power through a historical perspective. Utilizing this perspective, the course covers a time period from the first balloons and dirigibles to the space-age global positioning systems of the Persian Gulf War. Historical examples are provided to extrapolate the development of Air Force capabilities (competencies), and missions (functions) to demonstrate the evolution of what has become today's USAF air and space power. Furthermore, the course examines several fundamental truths associated with war in the third dimension: e.g. Principles of War and Tenets of Air and Space Power. As a whole, this course provides the cadets with a knowledge level understanding for the general element and employment of air and space power, from an institutional doctrinal and historical perspective. In addition, the students will continue to discuss the importance of the Air Force Core Values, through the use of operational examples and historical Air Force leaders, and will continue to develop their communication skills. Leadership Laboratory is mandatory for AFROTC cadets and complements this course by providing cadets with followership experiences."
AS,201L,Leadership Laboratory,"This class is mandatory for cadets who apply for membership in the AFROTC program and who are pursuing a commission in the United States Air Force. Cadets apply leadership concepts and principles, and practice critical skills needed to be an effective Air Force officer. Activities include physical fitness training, communication exercises, drill and ceremonies, and active duty Air Force experiences."
AS,202,The Evolution of Air and Space Power II,This course is a continuation of the fall quarter course designed to examine the general aspects of air and space power through a historical perspective.
AS,202L,Leadership Laboratory,"This class is mandatory for cadets who apply for membership in the AFROTC program and who are pursuing a commission in the United States Air Force. Cadets apply leadership concepts and principles, and practice critical skills needed to be an effective Air Force officer. Activities include physical fitness training, communication exercises, drill and ceremonies, and active duty Air Force experiences."
AS,203,The Evolution of Air and Space Power III,This course is a continuation of the winter quarter course designed to examine the general aspects of air and space power through a historical perspective.
AS,301,Air Force Leadership Studies I,"This course is a study of leadership, management fundamentals, professional knowledge, Air Force personnel and evaluation systems, leadership ethics, and the communication skills required of an Air Force junior officer. Case studies are used to examine Air Force leadership and management situations as a means of demonstrating and exercising practical application of the concepts being studied. A mandatory Leadership Laboratory complements this course by providing advanced leadership experiences in officer-type activities, giving students the opportunity to apply the leadership and management principles of this course."
AS,301L,Leadership Laboratory,"This class is mandatory for cadets who apply for membership in the AFROTC program and who are pursuing a commission in the United States Air Force. Cadets apply leadership concepts and principles, and practice critical skills needed to be an effective Air Force officer. Activities include physical fitness training, communication exercises, drill and ceremonies, and active duty Air Force experiences."
AS,302,Air Force Leadership Studies II,"This course is a continuation of the fall quarter course designed to study leadership, management fundamentals, professional knowledge, Air Force personnel and evaluation systems, leadership ethics, and the communication skills required of an Air Force junior officer."
AS,302L,Leadership Laboratory,"This class is mandatory for cadets who apply for membership in the AFROTC program and who are pursuing a commission in the United States Air Force. Cadets apply leadership concepts and principles, and practice critical skills needed to be an effective Air Force officer. Activities include physical fitness training, communication exercises, drill and ceremonies, and active duty Air Force experiences."
AS,303,Air Force Leadership Studies III,"This course is a continuation of the winter quarter course designed to study leadership, management fundamentals, professional knowledge, Air Force personnel and evaluation systems, leadership ethics, and the communication skills required of an Air Force junior officer."
AS,401,National Security Affairs and Preparation for Active Duty I,"This course examines the national security process, regional studies, advanced leadership ethics, and Air Force doctrine. Special topics of interest focus on the military as a profession, officership, military justice, civilian control of the military, preparation for active duty, and current issues affecting military professionalism. Within this structure, continued emphasis is given to refining communication skills. A mandatory Leadership Laboratory complements this course by providing advanced leadership experiences, giving students the opportunity to apply the leadership and management principles of this course."
AS,401L,Leadership Laboratory,"This class is mandatory for cadets who apply for membership in the AFROTC program and who are pursuing a commission in the United States Air Force. Cadets apply leadership concepts and principles, and practice critical skills needed to be an effective Air Force officer. Activities include physical fitness training, communication exercises, drill and ceremonies, and active duty Air Force experiences."
AS,402,National Security Affairs and Preparation for Active Duty II,"This course is a continuation of the fall quarter course designed to examine the national security process, regional studies, advanced leadership ethics, and Air Force doctrine."
AS,402L,Leadership Laboratory,"This class is mandatory for cadets who apply for membership in the AFROTC program and who are pursuing a commission in the United States Air Force. Cadets apply leadership concepts and principles, and practice critical skills needed to be an effective Air Force officer. Activities include physical fitness training, communication exercises, drill and ceremonies, and active duty Air Force experiences."
AS,403,National Security Affairs and Preparation for Active Duty III,"This course is a continuation of the winter quarter course designed to examine the national security process, regional studies, advanced leadership ethics, and Air Force doctrine."
AS,103L,Leadership Laboratory,"This class is mandatory for cadets who apply for membership in the AFROTC program and who are pursuing a commission in the United States Air Force. Cadets apply leadership concepts and principles, and practice critical skills needed to be an effective Air Force officer. Activities include physical fitness training, communication exercises, drill and ceremonies, and active duty Air Force experiences."
AS,203L,Leadership Laboratory,"This class is mandatory for cadets who apply for membership in the AFROTC program and who are pursuing a commission in the United States Air Force. Cadets apply leadership concepts and principles, and practice critical skills needed to be an effective Air Force officer. Activities include physical fitness training, communication exercises, drill and ceremonies, and active duty Air Force experiences."
AS,303L,Leadership Laboratory,"This class is mandatory for cadets who apply for membership in the AFROTC program and who are pursuing a commission in the United States Air Force. Cadets apply leadership concepts and principles, and practice critical skills needed to be an effective Air Force officer. Activities include physical fitness training, communication exercises, drill and ceremonies, and active duty Air Force experiences."
AS,403L,Leadership Laboratory,"This class is mandatory for cadets who apply for membership in the AFROTC program and who are pursuing a commission in the United States Air Force. Cadets apply leadership concepts and principles, and practice critical skills needed to be an effective Air Force officer. Activities include physical fitness training, communication exercises, drill and ceremonies, and active duty Air Force experiences."
BE,100,Problem Solving in the Biological Sciences and Engineering,"This course introduces students to computational tools for solving problems in biology and biomedical engineering. The primary thrust of the course is structured programming in MatLab. In addition, we will explore data description, the proper presentation of data, effective use of spreadsheet tools in data analysis, structured programming, and an introduction to bioinformatics and Working Model."
BE,201,Biomedical Measurements,"Discussion of measurement principles for biomedical engineering. Topics include op-amp circuit analysis, frequency analysis, fundamentals of digital gates and flip-flops, different types of biomedical sensors (temperature, force, pressure, velocity, etc), and basics of microcontrollers and embedded system."
BE,310,Analysis of Physiological Systems I,"An analysis of neural, muscular, and endocrine physiology from a quantitative, systems-based approach."
BE,317,Design for Biomedical Manufacturing,"This course presents manufacturing methods associated with biomedical products and situates Design for Manufacturing within the larger context of cradle to cradle design processes. Current biomedical industry processes and issues are emphasized. Taking ME317 and BE317 simultaneously, and passing both courses, will fulfill the requirement for a 4-credit BE biomechanics or biomaterials concentration elective."
BE,320,Analysis of Physiological Systems II,"An analysis of cardiovascular, pulmonary, and renal physiology from a quantitative, systems-based approach."
BE,331,Biomechanics,"This course introduces students to the various interdisciplinary fields in biomechanics - such as orthopaedic biomechanics, biofluid mechanics, soft tissue mechanics, and the biomechanics of human movement. Specific topics include: statics/dynamics of the human body, kinematics during activity; the analysis of forces and stresses/strains in biological structures under loading; constitutive models for biological materials (e.g. bone, cartilage, tendon/ligament); and the relationship between structure and function in tissues and organs. Non-majors interested in taking this course should see the instructor."
BE,340,Biomedical Instrumentation and Signal Processing,"This course introduces the fundamental of biomedical signal processing strategies. Topics include data acquisition, A/D and D/A conversion, digital filter design, time-frequency analysis, and I/O interfaces. Multichannel data processing and high dimensional data analysis techniques are also covered. Lectures will be accompanied by data analysis assignments and projects using MATLAB, LabVIEW, and microcontrollers."
BE,350,Biocontrol Systems,"Systems representation and analysis in the frequency and time domain. Topics include aplace transforms, modeling of electrical and mechanical systems, stability, steady-state error analysis, root locus design, frequency response analysis, and applications in physiology and medicine."
BE,351,Biomedical Engineering Lab,This course emphasizes the fundamental concepts in biomechanics and biomaterials through hands-on experience with standard testing equipment. Laboratory projects will be assigned which will require the students to use basic instrumentation to determine and execute effective test methods. Non-majors interested in taking this course should see the instructor.
BE,352,Biomechanics Lab,This course emphasizes the fundamental concepts in biomechanics through hands-on experience with standard testing equipment. Laboratory projects will be assigned which will require the students to use basic instrumentation to determine and execute effective test methods.
BE,353,Biomaterials Lab,This course emphasizes the fundamental concepts in biomaterials through hands-on experience with standard testing equipment. Laboratory projects will be assigned which will require the students to use basic instrumentation to determine and execute effective test methods.
BE,361,Biomaterials,"Structure-property relationships for metallic, polymeric, and ceramic biomaterials. Study of the interactions of these materials with the body and factors affecting the selection and design of materials for medical implants and devices."
BE,385,Quality Methods,"Introduction to various aspects of statistical quality control and statistical process control to include the following topics: importance of variance reduction and probability concepts influencing product quality and reliability; development and application of control charts (Pcharts, NP-charts, C-charts, U-charts, individual’s charts, moving range charts, X-bar and R as well as X-bar and S charts); process capability indices (their use and misuse); introduction to acceptance sampling. Other topics to be included as time allows: 6 sigma thinking, gauge reproducibility and repeatability, and total quality management with the philosophies of Deming, Juran, and Crosby. Review of fundamental prerequisite statistics will be included as necessary. Same as MA 385."
BE,390,Principles of Biomedical Engineering Design,"In this course, junior BE majors are introduced to the engineering design methodology as utilized in biomedical engineering. Students will learn engineering design through completion of a team design project with realistic constraints. This course serves as the entry point for the four-quarter sequence in which students undertake and complete their capstone design project."
BE,400,Consulting Engineering Seminar,"Discusses problems in the field of consulting engineering; includes seminars presented by practicing consulting engineers and a suitable project to practice consulting skills. Cross-listed with CE420, ME420, CHE420, ECE466."
BE,410,Biomedical Engineering Design I,"This course begins the year-long capstone design project and continues to investigate the process of design in biomedical engineering by having student teams initiate the design process for a relevant problem in biomedical engineering. This includes developing the design problem from a set of client needs, establishing specifications, planning the project, scheduling, efficient use of resources, examining ethics and safety in engineering design, and working within explicit (or implicit) constraints such as social, fiscal, manufacturing, etc. The course culminates with the presentation of the preliminary proposal for the capstone design project in biomedical engineering."
BE,420,Biomedical Engineering Design II,"This course is a continuation of BE410 by having student teams implement their design plan. This will include development of a test plan, modifications to the design project as needed, and assessment of design performance relative to initial specifications. This course culminates in the submission of the final design document."
BE,430,Biomedical Engineering Design III,"This course is a continuation of BE420 and introduces students to the skills necessary for professional practice in biomedical engineering including project management, review of critical design decisions, mentoring design teams, etc. The biomedical engineering design sequence culminates in the formal oral presentation of the capstone design report."
BE,435,Biomedical Optics,"Optical techniques for biomedical applications and health care; laser fundamentals, laser interaction with biological cells, organelles and nanostructures; laser diagnostics and therapy, laser surgery; microscopes; optics-based clinical applications; imaging and spectroscopy, biophotonics laboratories. For graduate credit, students must do additional project work on a topic selected by the instructor. Cross-listed with OE 435."
BE,482,Bioengineering Statistics,"Hypothesis testing and confidence intervals for two means, two proportions, and two ariances. Introduction to analysis of variance to include one factor and two factors (with interaction) designs. Presentation of simple linear and multiple linear regression modeling; development of analysis of contingency table to include logistic regression. Presentation of Log odds ratio as well as several non-parametric techniques of hypothesis testing and construction of non-parametric confidence intervals and correlation coefficients. Review of fundamental prerequisite statistics will be included as necessary."
BE,491,Special Topics in Biomedical Engineering,"Covers upper-level, undergraduate material of mutual interest to student and instructor which cannot be acquired in any other listed undergraduate BE course."
BE,499,Thesis Research,"Culmination of biomedical engineering thesis research in which a student writes and submits the senior thesis, following departmentally established guidelines, and gives an oral research presentation to at least three departmental faculty members, including the student's advisor. BE499 may not be used as a biomedical engineering area elective."
BE,510,Biomedical Signal and Image Processing,"Provides a comprehensive survey of signal and image processing tools for biomedical applications. Major biological signals (e.g., ECG), biomedical imaging techniques (e.g., MRI), their origin and importance, and the commonly used processing techniques with an emphasis on physiology and diagnostic applications will be discussed."
BE,511,Analysis of Physiological Systems I,"An analysis of neural, muscular, endocrine, and digestive physiology from a quantitative, systems-based approach. Both recent and classical journal articles will be discussed in class. Students enrolled in BE511 must complete a project not covered in BE310. Students may not receive credit for both BE511 and BE310."
BE,512,Analysis of Physiological Systems II,"An analysis of cardiovascular, pulmonary, and renal physiology from a quantitative, systems-based approach. Both recent and classical journal articles will be discussed in class. (Note: BE511 is not a prerequisite for BE512). Students enrolled in BE512 must complete a project not covered in BE320. Students may not receive credit for both BE512 and BE320."
BE,516,Introduction to MEMS: Fabrication and Applications,"Properties of silicon wafers, wafer-level processes, surface and bulk micromachining, thin-film deposition, dry and wet etching, photolithography, process integration, simple actuators. Introduction to microfluidic systems. MEMS application: capacitive accelerometer, cantilever and pressure sensor. Students enrolled in BE516 must do project work on a topic selected by the instructor. Cross-listed with CHE 505, ECE 516, EP 510, and ME 516."
BE,520,Introduction to Brain Machine Interfaces,"This course is an introduction to the basics of motor cortical functions related to voluntary and imagery movements, evoked response potentials, invasive vs. noninvasive electrode design considerations, quantitative EEG analysis techniques used in clinical settings, and the applications of brain-machine interfaces/brain-computer interfaces in the restoration of mobility, communication and motor function."
BE,525,Biomedical Fluid Mechanics,"Includes cardiovascular physiology, Poiseuille flow, pulsatile flow in rigid tubes, pulsatile flow in large arteries, blood flow in the microcirculation, flow and pressure measurement, prosthetic heart valves, prosthetic arteries, dimensional analysis and modeling."
BE,531,Biomechanics II,"Covers statics, dynamics and deformable body mechanics of biological systems. Topics include joint anatomy, muscle physiology, biomechanics of distance running, physiological response to acceleration, mechanics of bone, joint biomechanics and selected topics from current literature. The course includes a lab covering the use of a motion analysis system and force platforms."
BE,534,Soft Tissue Mechanics,"This course provides an introduction to the various approaches used in modelling soft tissues, with particular attention paid to those of the musculoskeletal system (e.g. ligament, tendon, cartilage). Particular emphasis will be placed on the theoretical and experimental consequences of the large deformation behavior of these tissues. This course will serve as a Biomechanics track elective."
BE,535,Biomedical Optics,"Optical techniques for biomedical applications and health care; laser fundamentals, laser interaction with biological cells, organelles and nanostructures; laser diagnostics and therapy, laser surgery; microscopes; optics-based clinical applications; imaging and spectroscopy, biophotonics laboratories. For graduate credit, students must do additional project work on a topic selected by the instructor. Cross-listed with OE 535."
BE,539,Multiscale Biomechanics,"This course provides a comprehensive exploration/overview of the multiple approaches available for the analysisof multiscale media, beginning from classical approaches in composite theory and moving on to various structure-function and homogenization models. Specific attention will be placed on the application of these ideas to heterogeneous and finite deformation biological tissues (e.g. bone, cartilage, ligament, vessels, etc.). This course will serve as a Biomechanics track elective."
BE,541,Medical Imaging Systems,"Engineering principles of major imaging techniques/modalities for biomedical applications and health care including diagnostic x-ray, computed tomography, nuclear techniques, ultrasound, and magnetic resonance imaging. Topics include general characteristics of medical images; physical principles, signal processing to generate an image, and instrumentation of imaging modalities. Clinical applications of these technologies are also discussed. Same as ECE584."
BE,543,Neuroprosthetics,"This course takes a detailed look at the state of the art in Neuroprosthetics design and applications. Topics include electrode design, sensory prosthetics, functional electrical stimulation, deep brain stimulation and other contemporary research topics."
BE,545,Orthopaedic Biomechanics,"This course covers current topics in orthopaedic biomechanics including the application of solid mechanics principles to musculoskeletal activities, orthopaedic implants, and fracture fixation devices. Topics include joint loading; composition and mechanical behavior of orthopaedic tissues; design/analysis of artificial joints and fracture fixation prostheses; osteoporosis and osteoarthritis; and finite element modeling."
BE,550,Research Methods in Biomechanics,"Focuses on the wide range of research methods used in the field of biomechanics. Current literature will be reviewed to analyze the advantages and disadvantages of various research methodologies. Topics will vary based on student interests and background, but may include topics such as motion/force analysis, soft tissue and bone mechanics, joint biomechanics, analysis of joint replacements, and fracture fixation. Laboratory activities will reinforce the lecture topics and students will have the opportunity to investigate a biomechanics research topic in their area of interest."
BE,555,Electrophysiology,"Introduces students to concepts of electrical activity in cells and organs of the body. Topics include: origin of membrane potential, membrane channels, synaptic signaling, recording techniques, gross electrical potentials (e.g. electrocardiogram, electroencephalogram, electromyogram, electroretinogram). Emphasis will be placed on how these signals are used to probe physiological function in the clinic and in the research laboratory."
BE,560,Tissue-Biomaterial Interactions,"Addresses interactions between living cells/tissues and implant biomaterials, stressing the importance of molecular- and cellular-level phenomena in initiating and propagating clinically relevant tissue- and systemic- level results."
BE,565,Experimental Methods in Tissue-Biomaterial Interactions,"This course focuses on teaching students experimental methods used for investigations of tissue-biomaterial interactions. Topics include bioethics issues associated with experiments on cells, tissues, animals, and people; biosafety issues associated with cells/tissues from animals and humans; the design, critique, and statistical analysis of experiments. Students conduct hands-on investigations of cell-biomaterial interactions which require the use of common laboratory equipment, aseptic technique, mammalian cell culture, and current molecular methods to investigate cell viability, structure, and function."
BE,570,Introduction to Tissue Engineering,"This course provides a broad overview of the latest developments in the field of tissue engineering. Normal structure and function of tissues and organs such as bone, cartilage, nerve, skin, and liver are discussed. Methods of engineering these tissues, or encouraging healing or regeneration that would not otherwise occur, is the focus of the course. The course takes the format of a graduate seminar, with students taking an active role in presenting material to the class and leading discussions."
BE,590,Thesis Research,"Credits as assigned: however, not more than 12 credits will be applied toward the requirements of an M.S. degree."
BE,597,Selected Topics,Selected Topics for Graduate Students Credits as assigned. Maximum 4 credits per term.
BE,621,Microbiology and Immunology,"Lectures, conferences and laboratories covering the immune response as a chemical and cellular Surveillance system; the consequences of activation of the immune system; and viruses, bacteria, fungi and protozoan and metazoan parasites as organisms and as agents of human disease."
BE,623,Gross Anatomy,An intensive study of the gross structure of the human body accomplished through maximum student participation in the dissection of the human cadaver. Lectures are interpretive and correlative. Audiovisual supplementation is provided.
BE,624,Biochemistry,"The chemistry and reactions of constituents of living matter, including the carbohydrates, lipids, proteins, nucleic acids, vitamins, coenzymes and minerals; the chemistry and regulation of the reactions and processes of whole organisms; endocrinology; enzymology; nutrition; intermediary metabolism; and biochemical mechanisms in selected disease states."
BE,625,Physiology,"The course in human physiology covers, in lectures and laboratories, such topics as circulation, respiration, digestion, endocrinology, heat metabolism, renal physiology, muscle physiology, and neurophysiology."
BE,492,Directed Study in Biomedical Engineering,Covers biomedical engineering material of mutual interest to the student and instructor which cannot be experienced in any other listed BE course. A student may take between 1-4 credits in any given term.
BIO,101,Essential Biology,"Surveys basic concepts in the biological sciences and describes how new advances related to these concepts affect contemporary society. Students who have completed BIO110, BIO120 or BIO130 cannot receive credit for taking BIO101."
BIO,102,Nutrition,"This course surveys essential concepts in the nutritional sciences, including food composition, diet construction and analysis, physiological processes, and special nutritional needs for certain groups. This course counts as a free elective for BIO or BE majors and not as an BIO elective."
BIO,110,Cell Structure and Function,"Introduces structures, mechanisms, and laboratory techniques in cellular and molecular biology. Discusses biomolecules, bioenergetics, biosynthesis, enzymatic function, genetics, and cellular regulatory systems."
BIO,120,Comparative Anatomy & Physiology,"The structural and functional relationships between tissues and organ systems are discussed using a comparative approach. The lecture is combined with laboratory exercises and observations, which may require dissection of biological specimens."
BIO,130,Evolution and Diversity,"Introduces fundamental principles, important applications, and field and laboratory techniques in organismal biology. Discusses mechanisms of evolution, the history of life on earth, biological diversity, and ecology."
BIO,191,Special Topics in Biology,Covers material of mutual interest to students and instructors which cannot be acquired in any other listed BIO course.
BIO,205,Cellular Physiology,"The flow of information in biological systems provides a framework for detailed discussion of cell structure and function, with particular attention paid to the physiology of excitable cells. Cellular communication and the interactions of cells in tissues and the immune system are also examined. Reproduction and organismal development will also be addressed at the cellular level. A student who earns credit for BIO205 cannot earn credit for BIO210 or BIO230 without departmental consent."
BIO,210,Mendelian and Molecular Genetics,A discussion of Mendelian genetics including the molecular mechanisms of nuclear and cytoplasmic inheritance. Information flow and control of gene expression are addressed at the molecular level. Basic genetic techniques are covered in both lecture and laboratory.
BIO,220,Prokaryotic Cell and Molecular Biology,"Discusses the essential properties of eubacteria and archea. Bacterial nutrition, growth, genetics and structural and metabolic diversity are discussed in detail. The basics of virology are also addressed. Fundamental laboratory methodologies are also covered."
BIO,230,Eukaryotic Cell and Molecular Biology,"Examines the structure and function of various eukaryotic cells. Biomembranes, organelles, the cytoskeleton, energetics, protein sorting, signal transduction and cell interactions are discussed in detail. Essential methods in cell biology are addressed in both lectures and laboratories."
BIO,264,Introduction to Environmental Science,"This course will introduce students to the broad field of environmental science by examining the biological, chemical, and physical processes that regulate the earths ecosystems and the effect that anthropogenic activity has in disrupting these components on the local and global scale. A final aspect of the course will discuss sustainable human utilization of natural resources. Cross-listed with CHEM 264."
BIO,310,Plant Structure & Function,"Surveys the structure, physiology, diversity, evolution, and ecological importance of plants and related groups of organisms."
BIO,320,Ecology,"Surveys adaptations of organisms, population dynamics, species interactions, and the structure and function of natural communities and ecosystems."
BIO,330,Evolutionary Biology,"Surveys three major themes of evolutionary biology: adaptation, diversity of life, and the shared characteristics of life. Mechanisms of evolution, speciation, phylogeny, and macroevolutionary processes are discussed."
BIO,340,Introduction to Biomedical Research: Clinical Methodolog,Designed to introduce biology/bioengineering students to the basics of biomedical research using the clinical methodology typical of patient sample analysis. Students will learn to relate testing procedures with specific diseases and to use data obtained from laboratory testing to understand more about specific patient health problems.
BIO,399,Practice of Science,"This course focuses on skills required for implementing scientific research, including reading the primary literature, experimental design, scientific writing, oral presentations, research proposal writing, poster presentations, and investigation of research programs (through seminars or individual meetings). Each student chooses a project and research mentor by the end of the course."
BIO,410,Infection and Immunity,"Discussion of various pathogens, how they cause disease, and how they elicit the innate and adaptive immune responses employed to combat them. Cellular and molecular mechanisms of immunity are addressed, as is the epidemiology of various human diseases."
BIO,411,Genetic Engineering,"Discusses the basics of molecular biology and the genetic and molecular techniques used to engineer prokaryotic and eukaryotic cells, plants, and animals for the production of useful traits or compounds. The application of DNA technology to the diagnosis and treatment of disease is also addressed."
BIO,421,Applied Microbiology,"Discusses the fundamental biology of microprobes and the processes underlying their use in the production of chemicals, therapeutics and foods. The basics of microbial ecology and the environmental applications of microbial biotechnology are also discussed."
BIO,431,Genomics and Proteomics,"Exploration of the methodologies used to generate systems-level sets of genetic and protein data, and the tools used to access and analyze the prodigious amounts of data emerging from such projects. The application of these technologies to investigate biological questions and model complex biological systems is also discussed."
BIO,441,Virology,"Virology focuses on the study of viruses as well as non-viral entities such as prions and viroids. In this course, students will learn about the structures, genomes, replication strategies, and pathogenic mechanisms of various viruses. Viruses causing diseases of medical and economic importance will be emphasized. In addition, the techniques used to study viruses and the uses of viruses in the treatment of disease will be addressed."
BIO,451,Cancer Biology,"This course focuses on cancer at the molecular and cellular level. Specific cellular molecules and the changes to these cellular molecules that contribute to transformational and immortalization of cells and tumor progression will be studied. The mechanisms behind these molecular changes, cancer promotion and initiation events, and cancer molecule-specific treatment options will be addressed. In addition, students will study a variety of specific cancer types."
BIO,461,Evolutionary Medicine,"This course examines medicine and medical practice from the perspective of evolutionary constraints, challenges, and diversity. Topics include theoretical foundations of the field, cancer patterns, mental health, genetic disease, evolutionary health promotion, and others."
BIO,471,Genetic and Molecular Analysis of Inherited Human Disease,"Strategies and methods used to identify and understand the genetic and molecular bases of inherited human disease are addressed. Topics include, human population genetics, pedigrees, genetic and physical mapping of human genes, linkage analysis, and diagnostic testing. Primary literature is routinely utilized."
BIO,491,Special Topics in Biology,Covers upper level material of mutual interest to student and instructor which cannot be acquired in any other listed BIO course.
BIO,492,Directed Study in Biology,"Covers biology material of mutual interest to the student and instructor which cannot be experienced in any other listed BIO course. A student may take between 1-4 credits in any given term, and a maximum of 8 credits of this course are permitted. Prior approval of the BBE department is required to use this course to fulfill BIO elective credit requirements."
BIO,496,Senior Thesis Research I,Initiation of senior thesis under the direction of an BBE faculty mentor. Major tasks include creation and submission of a research proposal and piloting procedures. Additional requirements for adequate progress determined by each faculty mentor.
BIO,497,Senior Thesis Research II,Continuation of research under the direction of an BBE faculty mentor. Major tasks include data acquisition and methodological refinement. Additional requirements for adequate progess determined by each faculty mentor.
BIO,498,Senior Thesis Research III,Continuation of research under the direction of an BBE faculty mentor. Major tasks include data acquisition and preliminary analysis. Additional requirements for adequate progress determined by each faculty mentor.
BIO,499,Senior Thesis Research IV,"Completion of senior thesis under the direction of an BBE faculty mentor. Major tasks include final analysis, public presentation of results, and submission of the written thesis. Additional requirements for adequate progress determined by each faculty mentor."
CE,101,Engineering Surveying,"Covers basic principles and practices of surveying. Measurement through the application of surveying techniques; theory of errors and their analysis; concepts of horizontal, vertical, and angular measurement; coordinate systems; basic surveying operations and computations; reading and interpretation of building, highway, and/or bridge plans; traverse computations; applications to construction and design."
CE,111,Geographical Information Systems,"The course covers introductory concepts of geographical information systems and related technologies. Topics covered will relate to the use, collection, creation, and analysis of spatial data in applying GIS and related technologies to civil engineering projects."
CE,250,Sustainable Civil Engineering Design,"An introduction to sustainable design of civil engineering systems. Includes treatment of current issues as they relate to design and construction for economic, environmental and social aspects of civil engineering."
CE,303,Engineering Economy,"Emphasizes time value of money and factors related thereto. Familiarizes students with concepts of annual cost, present worth, and minimum rate of return as tools for consideration of economic factors pertinent to the selection of alternate solutions to engineering problems."
CE,310,Civil Engineering Numerical Methods,"Covers numerical methods used in solution of engineering problems. Typical topics include root finding, numerical integration, numerical differentiation, curve fitting, and numerical solution of ordinary differential equations. Departmental Impact: The department is confident student learning in advanced Excel and Mathcad usage to solve civil engineering problems can be improved if it is incorporated into assignments across the curriculum. The department will implement a plan across the curriculum for intentional learning about advanced Excel and Mathcad usage with the adoption of this change. The details of this plan are not available at this time but the department is confident this intentional learning across the curriculum will be more effective than the current approach to learning this content."
CE,320,Civil Engineering Materials,"A study of the origin, nature, performance and selection criteria of various basic materials used in the practice of civil engineering. These include aggregates, portland cement, concrete, and bituminous materials. Emphasis will be placed on standard methods of testing and characterization as related to the mechanical behavior of materials."
CE,321,Structural Mechanics I,"Classical structural analysis. Idealizations, stability, reactions and internal forces, influence lines, approximate analysis, and displacements."
CE,336,Soil Mechanics,"Introduces the student to the fundamental concepts of soil mechanics. Covers types and properties of soils, lateral and vertical pressures, settlement and consolidation, strength and seepage studies. Includes laboratory investigation of soil properties."
CE,371,Hydraulic Engineering,"Application of basic fluid mechanics principles to the fields of hydraulics and water resources. Topics covered include: open channel flow, closed conduit flow, flow measurement, and turbomachinery. Stresses practical applications in the laboratory."
